"YR_MTH","SOA_FATAL","SOA_FATAL_INDI","SOA_SERIOUS","SOA_SERIOUS_INDI","SOA_SLIGHT","SOA_SLIGHT_INDI","VCT_VEHICLE","VCT_VEHICLE_INDI","VCT_PDS","VCT_PDS_INDI","VCT_OBJ","VCT_OBJ_INDI","VCT_NONCOL","VCT_NONCOL_INDI"
"201301",7,"",228,"",1108,,532,"",287,"",136,"",388,""
"201302",6,"",192,"",953,,457,"",222,"",115,"",357,""
"201303",9,"",202,"",1085,,513,"",277,"",129,"",377,""
"201304",8,"",198,"",1041,,482,"",260,"",152,"",353,""
"201305",10,"",187,"",1142,,527,"",300,"",134,"",378,""
"201306",8,"",228,"",1194,,605,"",299,"",141,"",385,""
"201307",14,"",219,"",1192,,606,"",285,"",180,"",354,""
"201308",12,"",213,"",1118,,594,"",255,"",214,"",280,""
"201309",13,"",218,"",1160,,568,"",298,"",162,"",363,""
"201310",14,"",212,"",1138,,505,"",288,"",234,"",337,""
"201311",15,"",191,"",1169,,549,"",288,"",255,"",283,""
"201312",12,"",188,"",1185,,581,"",270,"",215,"",319,""
"201401",8,"",224,"",1145,,529,"",304,"",99,"",445,""
"201402",4,"",176,"",882,,415,"",219,"",59,"",369,""
"201403",7,"",203,"",1029,,522,"",238,"",97,"",382,""
"201404",7,"",209,"",1106,,546,"",266,"",83,"",427,""
"201405",4,"",202,"",1139,,584,"",299,"",88,"",374,""
"201406",9,"",245,"",1099,,596,"",281,"",70,"",406,""
"201407",4,"",199,"",1180,,616,"",267,"",77,"",423,""
"201408",13,"",231,"",1122,,621,"",252,"",72,"",421,""
"201409",11,"",190,"",1086,,535,"",283,"",75,"",394,""
"201410",13,"",224,"",1109,,555,"",309,"",59,"",423,""
"201411",10,"",210,"",1117,,563,"",277,"",58,"",439,""
"201412",9,"",195,"",1169,,574,"",315,"",63,"",421,""
"201501",9,"",223,"",1172,,602,"",296,"",53,"",453,""
"201502",6,"",183,"",943,,475,"",253,"",53,"",351,""
"201503",13,"",208,"",1103,,563,"",243,"",75,"",443,""
"201504",10,"",234,"",1054,,547,"",239,"",73,"",439,""
"201505",9,"",194,"",1176,,568,"",281,"",94,"",436,""
"201506",9,"",214,"",1168,,659,"",283,"",84,"",365,""
"201507",18,"",237,"",1173,,660,"",273,"",97,"",398,""
"201508",5,"",201,"",1143,,631,"",246,"",90,"",382,""
"201509",7,"",216,"",1213,,644,"",272,"",76,"",444,""
"201510",10,"",222,"",1189,,623,"",278,"",86,"",434,""
"201511",6,"",204,"",1104,,573,"",273,"",64,"",404,""
"201512",15,"",174,"",1105,,553,"",281,"",82,"",378,""
"201601",7,"",206,"",1240,,682,"",290,"",88,"",393,""
"201602",4,"",186,"",951,,505,"",225,"",61,"",350,""
"201603",8,"",193,"",1126,,631,"",233,"",83,"",380,""
"201604",10,"",196,"",1113,,627,"",281,"",80,"",331,""
"201605",9,"",236,"",1179,,660,"",283,"",88,"",393,""
"201606",12,"",222,"",1135,,628,"",259,"",93,"",389,""
"201607",8,"",200,"",1108,,591,"",267,"",77,"",381,""
"201608",12,"",195,"",1089,,615,"",254,"",68,"",359,""
"201609",14,"",208,"",1100,,614,"",261,"",80,"",367,""
"201610",11,"",190,"",1153,,634,"",257,"",76,"",387,""
"201611",11,"",186,"",1220,,698,"",275,"",69,"",375,""
"201612",23,"",161,"",1177,,622,"",287,"",63,"",389,""
"201701",10,"",195,"",1192,,679,"",262,"",50,"",406,""
"201702",9,"",171,"",950,,520,"",230,"",69,"",311,""
"201703",9,"",194,"",1138,,655,"",274,"",74,"",338,""
"201704",10,"",194,"",1098,,600,"",251,"",70,"",381,""
